#{"t_start": 1605916160.06421, "env_id": "fishing-v1"}
r,l,t
0.75,1,4.989365
0.75,1,4.992
0.75,1,4.994347
0.75,1,4.996262
0.75,1,4.997941
0.75,1,4.999653
0.75,1,5.001581
0.75,1,5.003495
0.75,1,5.005465
0.75,1,5.007858
0.75,1,5.009596
0.75,1,5.011307
0.75,1,5.013038
0.75,1,5.01533
0.75,1,5.017577
0.75,1,5.019698
0.75,1,5.021482
0.75,1,5.023268
0.75,1,5.024933
0.75,1,5.026953
0.75,1,5.029608
0.75,1,5.031705
0.75,1,5.033623
0.75,1,5.036198
0.75,1,5.038532
0.75,1,5.04081
0.75,1,5.043123
0.75,1,5.045218
0.75,1,5.047169
0.75,1,5.049121
0.75,1,5.050904
0.75,1,5.052627
0.75,1,5.054754
0.75,1,5.057011
0.75,1,5.059023
0.75,1,5.061233
0.75,1,5.063421
0.75,1,5.065468
0.75,1,5.06741
0.75,1,5.070052
0.75,1,5.072264
0.75,1,5.074108
0.75,1,5.076074
0.75,1,5.078164
0.75,1,5.080219
0.75,1,5.082391
0.75,1,5.084609
0.75,1,5.087115
0.75,1,5.089107
0.75,1,5.091243
0.75,1,5.093286
0.75,1,5.095126
0.75,1,5.097008
0.75,1,5.099009
0.75,1,5.100892
0.75,1,5.103179
0.75,1,5.10582
0.75,1,5.107733
0.75,1,5.109458
0.75,1,5.111505
0.75,1,5.113349
0.75,1,5.115424
0.75,1,5.11714
0.75,1,5.119465
0.75,1,5.12141
0.75,1,5.124246
0.75,1,5.126099
0.75,1,5.128055
0.75,1,5.129984
0.75,1,5.1318
0.75,1,5.133702
0.75,1,5.135531
0.75,1,5.137426
0.75,1,5.139039
0.75,1,5.141146
0.75,1,5.142978
0.75,1,5.144898
0.75,1,5.146526
0.75,1,5.148607
0.75,1,5.150215
0.75,1,5.151773
0.75,1,5.15355
0.75,1,5.155733
0.75,1,5.158151
0.75,1,5.159887
0.75,1,5.162005
0.75,1,5.163835
0.75,1,5.165782
0.75,1,5.168442
0.75,1,5.170204
0.75,1,5.172749
0.75,1,5.17461
0.75,1,5.176677
0.75,1,5.17896
0.75,1,5.181074
0.75,1,5.183025
0.75,1,5.184855
0.75,1,5.186774
0.75,1,5.188715
0.75,1,5.190816
0.75,1,5.192954
0.75,1,5.194814
0.75,1,5.196772
0.75,1,5.198949
0.75,1,5.201128
0.75,1,5.202914
0.75,1,5.204639
0.75,1,5.206526
0.75,1,5.208856
0.75,1,5.211027
0.75,1,5.212921
0.75,1,5.214566
0.75,1,5.216428
0.75,1,5.218531
0.75,1,5.220748
0.75,1,5.222625
0.75,1,5.224829
0.75,1,5.226787
0.75,1,5.228953
0.75,1,5.230682
